sid,link_name,borough,polyline,link_length_ft,aggregation_period_sec,n_samples,median_calculation_timestamp,median_tt_sec,median_speed_fps
34028,Belt Pkwy - Eastbound - Flatbush Ave to Erskine St,Brooklyn,u_xvFlbbbMcEwC{EkGmBmEgEcNwD}GwBgC}FaE_Cu@gQiBeRkEoLq@uVCyRr@eGGiFs@uEsA}FyDsEkE_DgE{Vgd@kLiSyFqIwCkCqHoGgKkGm[cMwI{D,20229.18,900,75,4/5/2026 12:24:14,321.0,63.02
35027,Belt Pkwy - Eastbound - Bay 8th St to Ocean Pkwy,Brooklyn,}kyvFdzwbMrDsQlBaMhCwKjEkLpK}RjEwHpCiIlCgQlBeG~CkGvEwGlF}FhGqFdF_DzMcFxE_DpG}IfBcFbB_IpBcNbCiWp@yLBqJaAuNqCeWy@{R,17580.18,900,233,4/5/2026 12:24:14,239.0,73.56
35202,Belt Pkwy - Westbound - Bay 8th St to 68th St,Brooklyn,smyvFv{wbMmDbQc@xHTfYkAnJmCzGyFpJyExDcHtDwHdFuL`OsI~EkHtAqb@jEaUEq[qCky@w[,16888.42,900,157,4/5/2026 12:24:14,229.0,73.75
37038,49th Street - Westbound - 7th Ave to 8th Ave,Manhattan,_`xwFp}pbMkFnP,885.4,900,23,4/5/2026 12:24:14,121.0,7.32
37059,7th Avenue - Southbound - 49th St to 42nd St,Manhattan,_`xwFn}pbMxN~I`K|G,1850.67,900,19,4/5/2026 12:24:14,131.0,14.13
38039,49th Street - Westbound - 8th Ave to 9th Ave,Manhattan,igxwF~nqbMsF~P,911.8,900,33,4/5/2026 12:24:14,71.0,12.84
39049,9th Avenue - Southbound - 49th St to 42nd St,Manhattan,}nxwF|`rbMxNhJ~JvG,1849.95,900,52,4/5/2026 12:24:14,129.0,14.34
40046,49th Street - Westbound - 1st Ave to 2nd Ave,Manhattan,yrvwFlrmbMgEtM,744.88,900,28,4/5/2026 12:24:14,38.0,19.6
41203,57th St - westbound - 1 Ave to QBB UL Entrance,Manhattan,qrwwFb{lbMcCtH,492.42,900,2,4/5/2026 12:24:14,52.0,9.47
42004,42nd Street - Westbound - 2nd Ave to 3rd Ave,Manhattan,w}uwF|tnbM}D`M,711.89,900,28,4/5/2026 12:24:14,102.0,6.98
42103,2nd Avenue -  Southbound - 42nd St to 34th St,Manhattan,c}uwFfunbMj^`V,2096.18,900,14,4/5/2026 12:24:14,144.5,14.51
43051,72nd Street - Westbound - Columbus Ave (9th Ave) to Broadway,Manhattan,ij{wFb~obMoFtPe@|A,1043.2,900,10,4/5/2026 12:24:14,35.0,29.81
43058,9th Avenue - Southbound - 72nd St to 57th St,Manhattan,yi{wFn~obMtZhStJrG~BtAxB|AbKtG,3955.13,900,6,4/5/2026 12:24:14,380.5,10.39
45102,1st Avenue - Northbound - 23rd St to 34th St,Manhattan,ilswF`}obMaj@y^,2880.52,900,17,4/5/2026 12:24:14,86.0,33.49
45105,23rd Street - Westbound - 1st Ave to 2nd Ave,Manhattan,mmswFb|obMcE~M,753.61,900,4,4/5/2026 12:24:14,69.0,10.92
46005,49th Street - Westbound - 2nd Ave to 3rd Ave,Manhattan,ayvwFbanbMyD~L,705.9,900,2,4/5/2026 12:24:14,124.0,5.69
46042,2nd Avenue - Southbound - 49th St to 42nd St,Manhattan,ayvwFbanbM|L|HxLdI,1848.17,900,29,4/5/2026 12:24:14,73.0,25.32
48040,1st Avenue - Northbound - 42nd St to 49th St,Manhattan,_wuwFnfnbM_DsByMyI}FwD,1849.46,900,2,4/5/2026 12:24:14,68.0,27.2
48042,42nd Street - Westbound - 1st Ave to 2nd Ave,Manhattan,qwuwF`fnbMeExM,747.98,900,3,4/5/2026 12:24:14,44.0,17.0
49053,42nd Street - Eastbound - 9th Ave to 8th Ave,Manhattan,urwwFhurbMlFyP,899.29,900,14,4/5/2026 12:24:14,107.0,8.4
49109,42nd Street - Westbound - 9th Ave to 10th Ave,Manhattan,ctwwFhtrbMkFzP,899.94,900,11,4/5/2026 12:24:14,115.0,7.83
49119,9th Avenue - Southbound - 42nd St to 37th St,Manhattan,cswwF~trbMnRbM,1298.3,900,44,4/5/2026 12:24:14,43.5,29.85
50057,8th Avenue - Northbound - 23rd St to 34th St,Manhattan,aauwFpysbMcj@m^,2875.57,900,5,4/5/2026 12:24:14,168.0,17.12
50106,23rd Street - Eastbound - 8th Ave to 7th Ave,Manhattan,m`uwF`zsbMhFwP,893.5,900,37,4/5/2026 12:24:14,35.0,25.53
51052,Broadway - Southbound - 72nd St to 57th St,Manhattan,mr{wFzrpbMhDVxSXpH?hNKrIIvAAd@HPN\Ff@QTe@Bg@^[PIf@D`Eb@,4661.61,900,6,4/5/2026 12:24:14,391.0,11.92
52056,57th Street - Eastbound - Broadway to 7th Ave,Manhattan,{cywF~qpbMxCkJ,576.01,900,2,4/5/2026 12:24:14,462.0,1.25
53038,8th Avenue - Northbound - 42nd St to 49th St,Manhattan,ukwwFfcrbMeCcB_C{A{BwA{B}A{ByA}B{A}ByA,1846.29,900,3,4/5/2026 12:24:14,345.0,5.35
53049,42nd Street - Westbound - 8th Ave to 9th Ave,Manhattan,alwwFtbrbMqFzP,905.24,900,9,4/5/2026 12:24:14,35.0,25.86
53059,42nd Street - Eastbound - 8th Ave to 7th Ave,Manhattan,ekwwFncrbMlFyP,899.3,900,16,4/5/2026 12:24:14,124.5,7.22
54052,57th Street - Eastbound - 8th Ave to Broadway,Manhattan,ofywFhxpbMtAmE,324.96,900,5,4/5/2026 12:24:14,453.0,0.72
54058,57th Street - Westbound - 8th Ave to 9th Ave,Manhattan,mgywFrwpbMqFxP,902.73,900,40,4/5/2026 12:24:14,63.5,14.22
55006,57th Street - Westbound - 2nd Ave to 3rd Ave,Manhattan,cywwFvimbM{DzL,702.79,900,9,4/5/2026 12:24:14,63.0,11.16
55046,2nd Avenue  - Southbound - 57th St to 49th St,Manhattan,uxwwFbjmbMhC`B|BxAxBvAzB|A~BxAzBzAzBzA~B|A,2112.17,900,42,4/5/2026 12:24:14,83.5,25.3
55203,57th St - eastbound - 2 Ave to QBB UL Entrance,Manhattan,kxwwF`jmbMz@yC,244.62,900,27,4/5/2026 12:24:14,10.0,24.46
56019,57th Street - Eastbound - 7th Ave to 6th Ave,Manhattan,a_ywFrfpbMlFwP,896.8,900,2,4/5/2026 12:24:14,268.0,3.35
56037,7th Avenue - Southbound - 57th St to 49th St,Manhattan,q_ywFhfpbMfC`BzBzA~BvAzBzA|BzAzBxA|BzAzB~A,2110.34,900,7,4/5/2026 12:24:14,188.0,11.23
56052,57th Street - Westbound - 7th Ave to Broadway,Manhattan,_`ywF|epbM_DxJ,598.23,900,9,4/5/2026 12:24:14,189.0,3.17
57053,8th Avenue - Northbound - 34th St to 42nd St,Manhattan,elvwFbzrbMm^}U,2096.63,900,12,4/5/2026 12:24:14,104.0,20.16
57060,34th Street - Eastbound - 8th Ave to 7th Ave,Manhattan,wkvwFlzrbMlFuP,894.52,900,10,4/5/2026 12:24:14,156.0,5.73
57061,34th Street - Westbound - 8th Ave to 9th Ave,Manhattan,qlvwFzyrbMqFvP,900.47,900,22,4/5/2026 12:24:14,35.0,25.73
58039,9th Avenue - Southbound - 57th St to 49th St,Manhattan,onywFviqbMt^bV,2113.33,900,54,4/5/2026 12:24:14,64.5,32.76
58054,57th Street - Eastbound - 9th Ave to 8th Ave,Manhattan,}mywFbjqbMjFsP,890.17,900,2,4/5/2026 12:24:14,35.0,25.43
58077,57th Street - Westbound - 9th Ave (Columbus Ave) to 10th Ave (Amsterdam Ave),Manhattan,}nywFhiqbMmFzP,901.6,900,8,4/5/2026 12:24:14,48.5,18.59
59017,42nd Street - Eastbound - 7th Ave to 6th Ave,Manhattan,wcwwFtqqbMlFsP,892.06,900,2,4/5/2026 12:24:14,698.0,1.28
59053,42nd Street - Westbound - 7th Ave to 8th Ave,Manhattan,sdwwFbqqbMoFxP,901.07,900,2,4/5/2026 12:24:14,97.0,9.29
59060,7th Avenue - Southbound - 42nd St to 34th St,Manhattan,edwwFjqqbMvNpJlJvGfBdA`@P,2103.3,900,10,4/5/2026 12:24:14,212.5,9.9
60023,34th Street - Eastbound - 7th Ave to 6th Ave,Manhattan,idvwFvhrbMpF_Q,910.15,900,47,4/5/2026 12:24:14,73.0,12.47
60057,34th Street - Westbound - 7th Ave to 8th Ave,Manhattan,cevwFdhrbMmFtP,894.51,900,11,4/5/2026 12:24:14,334.0,2.68
60106,7th Avenue - Southbound - 34th St to 23rd St,Manhattan,sdvwFlhrbM`j@n^,2873.73,900,66,4/5/2026 12:24:14,157.5,18.25
61078,34th Street - Westbound - 9th Ave to 10th Ave,Manhattan,ctvwFpksbMoFxP,901.09,900,8,4/5/2026 12:24:14,32.5,27.73
62074,Hylan Blvd - Northbound - New Dorp Ln to Midland Ave,Staten Island,a|rvFdpicMqBqByEwEkBoBoBeBmByByCuCkBoBsBuBgDmDuCiCkCcC,3425.74,900,100,4/5/2026 12:24:14,193.5,17.7
62126,Hylan Blvd - Southbound - New Dorp Ln to Guyon Ave,Staten Island,}|rvFvqicM~W`XvRzRfQjR,4653.84,900,46,4/5/2026 12:24:14,199.5,23.33
63064,Father Capodanno Blvd @ Seaview Ave to Lily Pond Ave Verrazano-Narrows Br Entrance - NB,Staten Island,istvFdhccMoDkEgEwEgAwAgBaBaFwEiEyEcCyDk@u@cDaC}BeBcCkBuB_ByAuAkCqCeGgGeDsDuBqCgCmDwAoCUYsAc@cAYsAKeFQiAm@}@_Ai@eAw@a@}@VaLrIsIlF,9499.41,900,52,4/5/2026 12:24:14,333.0,28.53
63074,Father Capodanno Blvd @ Seaview Ave to Hyland Blvd @ Midland Ave via Midland Ave,Staten Island,wstvF~iccMlFlGhEhItD`I~GhNlB`EtErJ|AzCn@z@rArArBjBjB`BuAzCoApC_DbH_DdHoArC}C`H_ArBgGfNc@l@_@`@gDzBcCrF,8868.3,900,9,4/5/2026 12:24:14,308.0,28.79
66067,Hylan Blvd - Northbound -  Seaview Ave to Narrows Rd South Via Steuben St,Staten Island,o`vvFfbfcMgFuFyJaIaIgHiPeGmKgD_EgAwAgBqEqPFcS{EsH{HoDeFz@{ClAqMaA,9054.74,900,7,4/5/2026 12:24:14,567.0,15.97
66074,Hylan Blvd - Southbound - Seaview Ave to Midland Ave,Staten Island,yavvF|bfcMpC~Br@l@|ArB`EpFdFdHpFrHzEnGdBdCjB~BdBhClBtBdC~B,4261.21,900,121,4/5/2026 12:24:14,221.0,19.28
66128,Hylan Blvd - Northbound - Seaview Ave to Fingerboard Rd West,Staten Island,aavvFpafcM}XaV}BgBaDuAa]wKmBqCcEgQA}FRyJRkGrCcLJcCMqB}@gCeAaBcCaB,8346.72,900,5,4/5/2026 12:24:14,882.0,9.46
