"sid","link_name","borough","polyline","link_length_ft","aggregation_period_sec","n_samples","median_calculation_timestamp","median_tt_sec","median_speed_fps"
"038039","49th Street - Westbound - 8th Ave to 9th Ave","Manhattan","igxwF~nqbMsF~P","911.8","900","48","3/16/2026 16:15:01","41","22.24"
"038054","8th Avenue - Northbound - 49th St to 57th St","Manhattan","kgxwF`oqbM}B{A}B{A{ByA}B{A{ByA}B}A}ByAeCaB","2108.84","900","22","3/16/2026 16:15:01","85","24.81"
"039049","9th Avenue - Southbound - 49th St to 42nd St","Manhattan","}nxwF|`rbMxNhJ~JvG","1849.95","900","46","3/16/2026 16:15:01","123.5","14.98"
"039085","49th Street - Westbound - 9th Ave to 10th Ave","Manhattan","{nxwFx`rbMoFvP","898.58","900","38","3/16/2026 16:15:01","83","10.83"
"041203","57th St - westbound - 1 Ave to QBB UL Entrance","Manhattan","qrwwFb{lbMcCtH","492.42","900","7","3/16/2026 16:15:01","79","6.23"
"042004","42nd Street - Westbound - 2nd Ave to 3rd Ave","Manhattan","w}uwF|tnbM}D`M","711.89","900","37","3/16/2026 16:15:01","54","13.18"
"042103","2nd Avenue -  Southbound - 42nd St to 34th St","Manhattan","c}uwFfunbMj^`V","2096.18","900","5","3/16/2026 16:15:01","130","16.12"
"043051","72nd Street - Westbound - Columbus Ave (9th Ave) to Broadway","Manhattan","ij{wFb~obMoFtPe@|A","1043.2","900","11","3/16/2026 16:15:01","66","15.81"
"043058","9th Avenue - Southbound - 72nd St to 57th St","Manhattan","yi{wFn~obMtZhStJrG~BtAxB|AbKtG","3955.13","900","8","3/16/2026 16:15:01","314.5","12.58"
"045102","1st Avenue - Northbound - 23rd St to 34th St","Manhattan","ilswF`}obMaj@y^","2880.52","900","31","3/16/2026 16:15:01","224","12.86"
"045105","23rd Street - Westbound - 1st Ave to 2nd Ave","Manhattan","mmswFb|obMcE~M","753.61","900","8","3/16/2026 16:15:01","30","25.12"
"046042","2nd Avenue - Southbound - 49th St to 42nd St","Manhattan","ayvwFbanbM|L|HxLdI","1848.17","900","15","3/16/2026 16:15:01","171","10.81"
"048042","42nd Street - Westbound - 1st Ave to 2nd Ave","Manhattan","qwuwF`fnbMeExM","747.98","900","7","3/16/2026 16:15:01","59","12.68"
"049053","42nd Street - Eastbound - 9th Ave to 8th Ave","Manhattan","urwwFhurbMlFyP","899.29","900","23","3/16/2026 16:15:01","58","15.5"
"049109","42nd Street - Westbound - 9th Ave to 10th Ave","Manhattan","ctwwFhtrbMkFzP","899.94","900","10","3/16/2026 16:15:01","81","11.11"
"049119","9th Avenue - Southbound - 42nd St to 37th St","Manhattan","cswwF~trbMnRbM","1298.3","900","76","3/16/2026 16:15:01","100.5","12.92"
"050057","8th Avenue - Northbound - 23rd St to 34th St","Manhattan","aauwFpysbMcj@m^","2875.57","900","2","3/16/2026 16:15:01","232","12.39"
"050106","23rd Street - Eastbound - 8th Ave to 7th Ave","Manhattan","m`uwF`zsbMhFwP","893.5","900","42","3/16/2026 16:15:01","64.5","13.85"
"051043","72nd Street - Eastbound - Broadway to Columbus Ave (9th Ave)","Manhattan","{q{wF~rpbM^qAnFsP","1021.03","900","2","3/16/2026 16:15:01","98","10.42"
"051052","Broadway - Southbound - 72nd St to 57th St","Manhattan","mr{wFzrpbMhDVxSXpH?hNKrIIvAAd@HPN\Ff@QTe@Bg@^[PIf@D`Eb@","4661.61","900","3","3/16/2026 16:15:01","437","10.67"
"052054","57th Street - Westbound - Broadway to 8th Ave","Manhattan","_eywFtqpbMoA|D","300.32","900","6","3/16/2026 16:15:01","394.5","0.76"
"053038","8th Avenue - Northbound - 42nd St to 49th St","Manhattan","ukwwFfcrbMeCcB_C{A{BwA{B}A{ByA}B{A}ByA","1846.29","900","33","3/16/2026 16:15:01","141","13.09"
"053049","42nd Street - Westbound - 8th Ave to 9th Ave","Manhattan","alwwFtbrbMqFzP","905.24","900","19","3/16/2026 16:15:01","150","6.03"
"053059","42nd Street - Eastbound - 8th Ave to 7th Ave","Manhattan","ekwwFncrbMlFyP","899.3","900","2","3/16/2026 16:15:01","120","7.49"
"054052","57th Street - Eastbound - 8th Ave to Broadway","Manhattan","ofywFhxpbMtAmE","324.96","900","5","3/16/2026 16:15:01","14","23.21"
"054058","57th Street - Westbound - 8th Ave to 9th Ave","Manhattan","mgywFrwpbMqFxP","902.73","900","46","3/16/2026 16:15:01","51.5","17.53"
"056052","57th Street - Westbound - 7th Ave to Broadway","Manhattan","_`ywF|epbM_DxJ","598.23","900","2","3/16/2026 16:15:01","185","3.23"
"057053","8th Avenue - Northbound - 34th St to 42nd St","Manhattan","elvwFbzrbMm^}U","2096.63","900","25","3/16/2026 16:15:01","317","6.61"
"057060","34th Street - Eastbound - 8th Ave to 7th Ave","Manhattan","wkvwFlzrbMlFuP","894.52","900","8","3/16/2026 16:15:01","937","0.95"
"057061","34th Street - Westbound - 8th Ave to 9th Ave","Manhattan","qlvwFzyrbMqFvP","900.47","900","29","3/16/2026 16:15:01","74","12.17"
"058039","9th Avenue - Southbound - 57th St to 49th St","Manhattan","onywFviqbMt^bV","2113.33","900","46","3/16/2026 16:15:01","195.5","10.81"
"058054","57th Street - Eastbound - 9th Ave to 8th Ave","Manhattan","}mywFbjqbMjFsP","890.17","900","6","3/16/2026 16:15:01","49","18.17"
"058077","57th Street - Westbound - 9th Ave (Columbus Ave) to 10th Ave (Amsterdam Ave)","Manhattan","}nywFhiqbMmFzP","901.6","900","11","3/16/2026 16:15:01","42","21.47"
"059060","7th Avenue - Southbound - 42nd St to 34th St","Manhattan","edwwFjqqbMvNpJlJvGfBdA`@P","2103.3","900","32","3/16/2026 16:15:01","276.5","7.61"
"060023","34th Street - Eastbound - 7th Ave to 6th Ave","Manhattan","idvwFvhrbMpF_Q","910.15","900","36","3/16/2026 16:15:01","99.5","9.15"
"060106","7th Avenue - Southbound - 34th St to 23rd St","Manhattan","sdvwFlhrbM`j@n^","2873.73","900","60","3/16/2026 16:15:01","195.5","14.7"
