"sid","link_name","borough","polyline","link_length_ft","aggregation_period_sec","n_samples","median_calculation_timestamp","median_tt_sec","median_speed_fps"
"053049","42nd Street - Westbound - 8th Ave to 9th Ave","Manhattan","alwwFtbrbMqFzP","905.24","900","5","3/15/2026 12:40:12","594","1.52"
"054052","57th Street - Eastbound - 8th Ave to Broadway","Manhattan","ofywFhxpbMtAmE","324.96","900","5","3/15/2026 12:40:12","208","1.56"
"054058","57th Street - Westbound - 8th Ave to 9th Ave","Manhattan","mgywFrwpbMqFxP","902.73","900","27","3/15/2026 12:40:12","89","10.14"
"057053","8th Avenue - Northbound - 34th St to 42nd St","Manhattan","elvwFbzrbMm^}U","2096.63","900","20","3/15/2026 12:40:12","216","9.71"
"057061","34th Street - Westbound - 8th Ave to 9th Ave","Manhattan","qlvwFzyrbMqFvP","900.47","900","44","3/15/2026 12:40:12","84.5","10.66"
"058039","9th Avenue - Southbound - 57th St to 49th St","Manhattan","onywFviqbMt^bV","2113.33","900","20","3/15/2026 12:40:12","426","4.96"
"058077","57th Street - Westbound - 9th Ave (Columbus Ave) to 10th Ave (Amsterdam Ave)","Manhattan","}nywFhiqbMmFzP","901.6","900","5","3/15/2026 12:40:12","62","14.54"
"060023","34th Street - Eastbound - 7th Ave to 6th Ave","Manhattan","idvwFvhrbMpF_Q","910.15","900","54","3/15/2026 12:40:12","138","6.6"
"060057","34th Street - Westbound - 7th Ave to 8th Ave","Manhattan","cevwFdhrbMmFtP","894.51","900","2","3/15/2026 12:40:12","663","1.35"
"060106","7th Avenue - Southbound - 34th St to 23rd St","Manhattan","sdvwFlhrbM`j@n^","2873.73","900","34","3/15/2026 12:40:12","104","27.63"
"061078","34th Street - Westbound - 9th Ave to 10th Ave","Manhattan","ctvwFpksbMoFxP","901.09","900","13","3/15/2026 12:40:12","38","23.71"
"062074","Hylan Blvd - Northbound - New Dorp Ln to Midland Ave","Staten Island","a|rvFdpicMqBqByEwEkBoBoBeBmByByCuCkBoBsBuBgDmDuCiCkCcC","3425.74","900","107","3/15/2026 12:40:12","144","23.79"
"063074","Father Capodanno Blvd @ Seaview Ave to Hyland Blvd @ Midland Ave via Midland Ave","Staten Island","wstvF~iccMlFlGhEhItD`I~GhNlB`EtErJ|AzCn@z@rArArBjBjB`BuAzCoApC_DbH_DdHoArC}C`H_ArBgGfNc@l@_@`@gDzBcCrF","8868.3","900","16","3/15/2026 12:40:12","249.5","35.54"
"066074","Hylan Blvd - Southbound - Seaview Ave to Midland Ave","Staten Island","yavvF|bfcMpC~Br@l@|ArB`EpFdFdHpFrHzEnGdBdCjB~BdBhClBtBdC~B","4261.21","900","2","3/15/2026 12:40:12","955","4.46"
"066128","Hylan Blvd - Northbound - Seaview Ave to Fingerboard Rd West","Staten Island","aavvFpafcM}XaV}BgBaDuAa]wKmBqCcEgQA}FRyJRkGrCcLJcCMqB}@gCeAaBcCaB","8346.72","900","2","3/15/2026 12:40:12","272","30.69"
"070071","Flatbush Ave - Southbound - Willoughby St to Atlantic Ave","Brooklyn","}tjwFdwpbMtEiB|EqBvD_BnMoIzJqGhCgB","3257.94","900","56","3/15/2026 12:40:12","274","11.89"
"071070","Flatbush Ave - Northbound - Atlantic Ave to Willoughvy St","Brooklyn","waiwFntobMwDfCk@ZaIlFcLhHaFvBiLpE","3291.08","900","59","3/15/2026 12:40:12","485","6.79"
"071201","Atlantic Avenue - Eastbound - Flatbush Ave to Carlton Ave","Brooklyn","}aiwFvuobMnBaHzBuRdBiL","1965.26","900","99","3/15/2026 12:40:12","50","39.31"
"074062","Hylan Blvd - Southbound - Midland Ave to New Dorp Ln","Staten Island","qktvF`chcMdHvGdDjDjCjCrBnBpBtBrBtBlBlBhBjBhBjBlBrBtBnB","3425.55","900","61","3/15/2026 12:40:12","889","3.85"
"074063","Hylan Blvd @ Midland Ave to Father Capodanno Blvd @ Seaview Ave via Midland Ave","Staten Island","yjtvFrbhcM|BkFdE_DbA{ArAyC|CeH`AqB|CcH|CcH`DeH|CcHjBoEaIsHi@s@wAsCu@{AcAqBsEmJcEqIyAyCwDaIiDcHu@iA{EsF","8988.5","900","6","3/15/2026 12:40:12","557.5","16.12"
"074066","Hylan Blvd - Northbound - Midland Ave to Seaview Ave","Staten Island","yjtvFtahcMmCcCgBsBgBmCmE_GeB}BuBqCqFqHuBuCqBkCmBmCcB{BgC}C{CgC","4305.32","900","27","3/15/2026 12:40:12","155","27.78"
"075079","10th Avenue - Northbound - 14th St to 23rd St","Manhattan","cmtwFjvubMaAo@WE}^kV","2313.62","900","5","3/15/2026 12:40:12","127","18.22"
"077058","57th Street - Eastbound - 10th Ave (Amsterdam Ave) to 9th Ave (Columbus Ave)","Manhattan","ouywFx{qbMnFwP","898.53","900","5","3/15/2026 12:40:12","653","1.38"
"077081","57th Street - Westbound - 10th Ave (Amsterdam Ave) to 11th Ave","Manhattan","kvywFd{qbMqFvP","900.3","900","16","3/15/2026 12:40:12","70.5","12.77"
"078108","34th Street - Westbound - 10th Ave to 11th Ave","Manhattan","c|vwF`}sbMgFxP","894.08","900","19","3/15/2026 12:40:12","89","10.05"
"080108","11th Avenue - Southbound - 42nd St to 34th St","Manhattan","gbxwFpxsbMt^|U","2109.39","900","2","3/15/2026 12:40:12","116","18.18"
